  iy  id it imin     qn     qh     qe     qs     qf        U       RH     Tair     pres     rain    kdown   snow    ldown   fcld    Wuh   xsmd    lai  kdiff   kdir  wdir
2012   5 22    0 -999.0 -999.0 -999.0 -999.0 -999.0    6.546   61.789    8.441  100.822    0.000    0.000 -999.0  279.409 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 127.6
2012   5 23    0 -999.0 -999.0 -999.0 -999.0 -999.0    6.341   62.800    8.313  100.911    0.000    0.000 -999.0  277.583 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 131.2
2012   6  0    0 -999.0 -999.0 -999.0 -999.0 -999.0    6.001   63.882    8.178  101.004    0.000    0.000 -999.0  273.425 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 132.1
2012   6  1    0 -999.0 -999.0 -999.0 -999.0 -999.0    5.462   65.376    7.825  101.142    0.000    0.000 -999.0  284.108 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 131.8
2012   6  2    0 -999.0 -999.0 -999.0 -999.0 -999.0    5.051   67.303    7.272  101.236    0.000    0.000 -999.0  261.745 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 129.6
2012   6  3    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.971   67.709    6.771  101.346    0.000    0.000 -999.0  256.298 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 129.1
2012   6  4    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.843   67.578    6.526  101.462    0.000    0.000 -999.0  255.639 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 131.5
2012   6  5    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.564   68.808    5.875  101.545    0.000    0.000 -999.0  250.768 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 134.3
2012   6  6    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.019   69.152    5.557  101.627    0.000    0.000 -999.0  263.299 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 133.7
2012   6  7    0 -999.0 -999.0 -999.0 -999.0 -999.0    3.523   71.419    4.981  101.715    0.000    0.000 -999.0  258.047 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 128.5
2012   6  8    0 -999.0 -999.0 -999.0 -999.0 -999.0    2.976   73.717    4.456  101.785    0.000    0.000 -999.0  246.767 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 122.8
2012   6  9    0 -999.0 -999.0 -999.0 -999.0 -999.0    3.013   73.775    4.533  101.855    0.000   22.536 -999.0  247.855 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 115.6
2012   6 10    0 -999.0 -999.0 -999.0 -999.0 -999.0    2.806   73.573    5.025  101.896    0.000  101.101 -999.0  249.511 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 111.2
2012   6 11    0 -999.0 -999.0 -999.0 -999.0 -999.0    3.092   71.256    6.250  101.982    0.000  184.821 -999.0  253.486 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 109.1
2012   6 12    0 -999.0 -999.0 -999.0 -999.0 -999.0    3.358   68.871    7.440  101.971    0.000  228.565 -999.0  259.342 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 106.4
2012   6 13    0 -999.0 -999.0 -999.0 -999.0 -999.0    3.733   62.428    8.025  101.906    0.000  234.150 -999.0  263.127 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 101.5
2012   6 14    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.047   61.878    8.024  101.875    0.000  145.529 -999.0  295.621 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 100.6
