dectime dryQSresid
23.2083 -56.6961
23.2226 -47.5066
23.2500 -25.1921
23.2642 -7.6885
23.2917 -4.3072
23.3059 -14.3095
23.3333 -31.5059
23.3476 -43.9101
23.3750 -44.7015
23.3892 -38.4285
23.4167 -31.6059
23.4309 -26.9629
23.4583 -23.7109
23.4725 -21.5423
23.5000 -21.2313
23.5142 -22.4447
23.5417 -23.6714
23.5558 -21.1191
23.5833 -11.4505
23.5975 1.8325
23.6250 -2.1029
23.6391 -34.1489
23.6667 -48.7382
23.6808 -20.9422
23.7083 -59.6973
23.7225 -225.2090
23.7500 -320.8248
23.7641 -192.7354
23.7917 NaN
23.8058 NaN
23.8333 NaN
23.8474 NaN
23.8750 NaN
23.8891 NaN
23.9167 NaN
23.9307 NaN
23.9583 NaN
23.9724 NaN
24.0000 NaN
24.0140 NaN
24.0417 NaN
24.0557 NaN
24.0833 NaN
24.0973 NaN
24.1250 NaN
24.1390 NaN
24.1667 NaN
24.1807 NaN
24.2083 NaN
24.2223 NaN
24.2500 NaN
24.2640 NaN
24.2917 NaN
24.3056 NaN
24.3333 NaN
24.3473 NaN
24.3750 NaN
24.3889 NaN
24.4167 NaN
24.4306 NaN
24.4583 NaN
24.4722 NaN
24.5000 NaN
24.5139 NaN
24.5417 NaN
24.5556 NaN
24.5833 NaN
24.5972 NaN
24.6250 NaN
24.6389 NaN
24.6667 NaN
24.6805 NaN
24.7083 NaN
24.7222 NaN
24.7500 NaN
24.7638 NaN
24.7917 NaN
24.8055 NaN
24.8333 NaN
24.8471 NaN
24.8750 NaN
24.8888 NaN
24.9167 NaN
24.9304 NaN
24.9583 NaN
24.9721 NaN
25.0000 NaN
25.0138 NaN
25.0417 NaN
25.0554 NaN
25.0833 NaN
25.0971 NaN
25.1250 NaN
25.1387 NaN
25.1667 NaN
25.1804 NaN
25.2083 NaN
25.2220 NaN
25.2500 NaN
25.2637 NaN
25.2917 NaN
25.3053 NaN
25.3333 NaN
25.3470 NaN
25.3750 NaN
25.3886 NaN
25.4167 NaN
25.4303 NaN
25.4583 NaN
25.4720 NaN
25.5000 NaN
25.5136 NaN
25.5417 NaN
25.5553 NaN
25.5833 NaN
25.5969 NaN
25.6250 NaN
25.6386 NaN
25.6667 NaN
25.6802 NaN
25.7083 NaN
25.7219 NaN
25.7500 NaN
25.7635 NaN
25.7917 NaN
25.8052 NaN
25.8333 NaN
25.8469 NaN
25.8750 NaN
25.8885 NaN
25.9167 NaN
25.9302 NaN
25.9583 NaN
25.9718 NaN
26.0000 NaN
26.0135 NaN
26.0417 NaN
26.0551 NaN
26.0833 NaN
26.0968 NaN
26.1250 NaN
26.1384 NaN
26.1667 NaN
26.1801 NaN
26.2083 NaN
26.2217 NaN
26.2500 NaN
26.2634 NaN
26.2917 NaN
26.3051 NaN
26.3333 NaN
26.3467 NaN
26.3750 NaN
26.3884 NaN
26.4167 NaN
26.4300 NaN
26.4583 NaN
26.4717 NaN
26.5000 NaN
26.5133 NaN
26.5417 NaN
26.5550 NaN
26.5833 NaN
26.5966 NaN
26.6250 NaN
26.6383 NaN
26.6667 NaN
26.6799 NaN
26.7083 NaN
26.7216 NaN
26.7500 NaN
26.7633 NaN
26.7917 NaN
26.8049 NaN
26.8333 NaN
26.8466 NaN
26.8750 NaN
26.8882 NaN
26.9167 NaN
26.9299 NaN
26.9583 NaN
26.9715 NaN
27.0000 NaN
27.0132 NaN
27.0417 NaN
27.0548 NaN
27.0833 NaN
27.0965 NaN
27.1250 NaN
27.1382 NaN
27.1667 NaN
27.1798 NaN
27.2083 NaN
27.2215 NaN
27.2500 NaN
27.2631 NaN
27.2917 NaN
27.3048 NaN
27.3333 NaN
27.3464 NaN
27.3750 NaN
27.3881 NaN
27.4167 NaN
27.4297 NaN
27.4583 NaN
27.4714 NaN
27.5000 NaN
27.5130 NaN
27.5417 NaN
27.5547 NaN
27.5833 NaN
27.5964 NaN
27.6250 NaN
27.6380 NaN
27.6667 NaN
27.6797 NaN
27.7083 NaN
27.7213 NaN
27.7500 NaN
27.7630 NaN
27.7917 NaN
27.8046 NaN
27.8333 NaN
27.8463 NaN
27.8750 NaN
27.8879 NaN
27.9167 NaN
27.9296 NaN
27.9583 NaN
27.9713 NaN
28.0000 NaN
28.0129 NaN
28.0417 NaN
28.0546 NaN
28.0833 NaN
28.0962 NaN
28.1250 NaN
28.1379 NaN
28.1667 NaN
28.1795 NaN
28.2083 NaN
28.2212 NaN
28.2500 NaN
28.2628 NaN
28.2917 NaN
28.3045 NaN
28.3333 NaN
28.3461 NaN
28.3750 NaN
28.3878 NaN
28.4167 NaN
28.4295 NaN
28.4583 NaN
28.4711 NaN
28.5000 NaN
28.5128 NaN
28.5417 NaN
28.5544 NaN
28.5833 NaN
28.5961 NaN
28.6250 NaN
28.6377 NaN
28.6667 -95.0929
28.6794 -92.5152
28.7083 -60.5853
28.7210 -30.2773
28.7500 -17.2944
28.7627 -24.9093
28.7917 -32.9846
28.8043 -22.7196
28.8333 -32.4827
28.8460 -86.8526
28.8750 -130.1264
28.8877 -111.2783
28.9167 -65.1962
28.9293 -42.4726
28.9583 -40.0245
28.9710 -38.6956
29.0000 -37.2291
29.0126 -37.4137
29.0417 -37.0259
29.0543 -35.5756
29.0833 -36.9079
29.0959 -41.1829
29.1250 -42.7728
29.1376 -38.6889
29.1667 -32.1870
29.1792 -27.8036
29.2083 -26.9468
29.2209 -30.1512
29.2500 NaN
29.2626 NaN
29.2917 NaN
29.3042 NaN
29.3333 NaN
29.3459 NaN
29.3750 NaN
29.3875 NaN
29.4167 NaN
29.4292 NaN
29.4583 NaN
29.4708 NaN
29.5000 NaN
29.5125 NaN
29.5417 NaN
29.5541 NaN
29.5833 NaN
29.5958 NaN
29.6250 NaN
29.6374 NaN
29.6667 NaN
29.6791 NaN
29.7083 NaN
29.7208 NaN
29.7500 NaN
29.7624 NaN
29.7917 NaN
29.8041 NaN
29.8333 NaN
29.8457 NaN
29.8750 NaN
29.8874 NaN
29.9167 NaN
29.9290 NaN
29.9583 NaN
29.9707 NaN
30.0000 NaN
30.0123 NaN
30.0417 NaN
30.0540 NaN
30.0833 NaN
30.0956 NaN
30.1250 NaN
30.1373 NaN
30.1667 NaN
30.1790 NaN
30.2083 NaN
30.2206 NaN
30.2500 NaN
30.2623 NaN
30.2917 NaN
30.3039 NaN
30.3333 NaN
30.3456 NaN
30.3750 NaN
30.3872 NaN
30.4167 NaN
30.4289 NaN
30.4583 NaN
30.4705 NaN
30.5000 NaN
30.5122 NaN
30.5417 NaN
30.5539 NaN
30.5833 NaN
30.5955 NaN
30.6250 NaN
30.6372 NaN
30.6667 NaN
30.6788 NaN
30.7083 NaN
30.7205 NaN
30.7500 NaN
30.7621 NaN
30.7917 NaN
30.8038 NaN
30.8333 NaN
30.8454 NaN
30.8750 NaN
30.8871 NaN
30.9167 NaN
30.9287 NaN
30.9583 NaN
30.9704 NaN
31.0000 NaN
31.0121 NaN
31.0417 NaN
31.0537 NaN
31.0833 NaN
31.0954 NaN
31.1250 NaN
31.1370 NaN
31.1667 NaN
31.1787 NaN
31.2083 NaN
31.2203 NaN
31.2500 NaN
31.2620 NaN
31.2917 NaN
31.3036 NaN
31.3333 NaN
31.3453 NaN
31.3750 NaN
31.3870 NaN
31.4167 NaN
31.4286 NaN
31.4583 NaN
31.4703 NaN
31.5000 NaN
31.5119 NaN
31.5417 NaN
31.5536 NaN
31.5833 NaN
31.5952 NaN
31.6250 NaN
31.6369 NaN
31.6667 NaN
31.6785 NaN
31.7083 NaN
31.7202 NaN
